"Details","Name","Stage","Country (ISO)","Contract Signed","Original currency (ISO)","Total finance (original currency)","USD Estimate","Investment Details - Internal Rate of Return - Latest - (Value)","Purpose and classifications - Social challenge - (Value)","Intervention model","Policy sector","Purpose and classifications - Primary SDG goal - (Value)","Purpose and classifications - Secondary SDG goals - (Value)","Purpose and classifications - Primary SDG target - (Value)","Purpose and classifications - Secondary SDG targets - (Value)","Purpose and classifications - (Source ID's)","Purpose and classifications - (Notes)","Beneficiaries - target population","Beneficiaries type","Service and beneficiaries - Unit type of targeted service users or beneficiaries - (Value)","Service and beneficiaries - Unit description of targeted service user or beneficiaries - (Value)","Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value)","Service and beneficiaries - Unit type of actual service users or beneficiaries engaged - (Value)","Service and beneficiaries - Unit description of actual service user or beneficiaries engaged - (Value)","Service and beneficiaries - (Source ID's)","Service and beneficiaries - (Notes)"
"View","London Homelessness Social Impact Bond (Thames Reach)","Complete","GB","2012-01","GBP","1,200,000","1895593.883","","","The interventions were designed around a Navigator approach, whereby key workers adopted a personalised and flexible approach, supporting the cohort to access existing provision and achieve sustained long-term outcomes. It targets a cohort not covered by key programmes for the most challenging long-term entrenched sleepers or for those new to the streets.","Homelessness","","","","","source11,source1","","Individuals with recorded sleeping rough or in a rough sleeping hostel in London between July- September 2012, and recorded sleeping rough in London at least 6 times in the previous two years.","","","","","","","source12",""
"View","Los Angeles County ""Just-in-Reach"" Project","Complete","US","2017-06","USD","10,000,000","10000000","","","The intervention is a health-based housing program (i.e. JIR) that aims to reduce jail recidivism and make significant progress in permanently ending chronic homelessness among people experiencing repeat jail stays. The program is structured in four steps. First, discharges from jail are coordinated with program staff waiting to pick up the participant upon release. Second, the participant receives placement in interim housing upon release, while the program team and the participant work to finalize permanent supportive housing placement. Third, a DHS-contracted permanent supportive housing provider assigns the participant to the most appropriate housing unit in its portfolio, from private landlord-owned units to large apartment complexes owned by nonprofit developers. Lastly, the provider administers a move-in assistance fund, which provides each participant with a security deposit paid directly to the landlord, basic furniture and household goods.","Criminal justice","","","","","source12,source1","","Individuals currently involved within the LA County criminal justice system, expecting to be discharged soon, who have been chronically homeless, scored highly on the VI-SPDAT, and who have at least one diagnosable condition from a list specified in contract.","300","Individual","","336","Individual","","source7,source16","Note on actual number of service users: the programme engaged with at least 336 participants."
"View","Manchester Multi-dimensional Treatment Foster Care- Adolescents (MTFC-A)","Complete","GB","2014-02","GBP","1,200,000","1974562.284","","","Uses an intervention called Multi-dimensional Treatment Foster Care - Adolescents (MTFC-A), as an alternative to local authority residential care for those young people that meet the criteria. Within Multi-dimensional Treatment Foster Care, foster carers are trained to provide MTFC in order to help addressing children’s emotional and behavioural difficulties. The one-year MTFC programme includes encouraging the development of academic skills, setting boundaries, supporting the establishment of contact with pro-social peers and maintaining close supervision of the child.","Child and family welfare","","","","","source2,source1","","High need young people aged 11-14 who are looked after by the local authority, either in residential care or in foster placements, who are at risk of entering residential care.","","","","","","","source2",""
"View","Massachusetts Chronic Individual Homelessness Pay for Success Initiative","Implementation","US","2014-12","USD","2,500,000","2500000","","","The intervention is based on the Massachusetts Housing and Shelter Alliance's ""Home & Healthy for Good"" model. This program provides flexible funding for permanent supportive housing for chronically homeless individuals. More specifically,  participants are housed and connected with appropriate mainstream resources such as physical and behavioral health care services, and other services brokered through community support services designed and proven to promote housing retention and good health.","Homelessness","","","","","source6,source4","","Individuals defined as ""chronically homeless"" by US Department of Housing & Urban Development or identified as homeless, anticipated high-cost users of emergency services.","800","","","","","","source18",""
"View","Massachusetts Juvenile Justice PFS Initiative","Implementation","US","2014-01","USD","18,000,000","18000000","","","The initiative aims to reduce recidivism and improve employment outcomes for young men at high risk of re-offending.  The four-year intervention consists of two years of intensive engagement and two years of follow-up, and includes four basic elements: outreach to young men by Roca staff; intensive case management; life skills, educational, prevocational, and employment programming; and connection to work opportunities with community partners. Roca helps young men change their behaviors while learning how to go to work, beginning with subsidized employment opportunities and transitioning when ready into full-time positions with employer partners.","Criminal justice","","","","","source14,source3","","The project is serving young men aged 17-24 who are in the Boston, Chelsea or Springfield areas and (i) leaving the juvenile justice system, (ii) are involved in the probation or parole system, or (iii) are leaving the custody of the Suffolk, Essex, Hampden, and Middlesex Houses of Correction or the state's Department of Correction.","","","","","","","source15",""
"View","Massachusetts Pathways to Economic Advancement Pay for Success Project","Implementation","US","2016-09","USD","12,430,000","12430000","","","The intervention aims at delivering various services including Vocational English classes, as well as reading, math, science, and computer literacy instruction, integrated with job readiness and job search assistance, occupational skills development activities (e.g. customer service, industry-specific vocabulary), and coaching (e.g. interviewing prep). The intervention will assist limited English speakers, including documented immigrants and refugees, in making succesful transitions to employment, higher wage jobs, and higher education. The service provider will offer four distinct program tracks: Rapid Employment, English for Advancement, Skills Training, and Bridges to College.","Employment and training","","","","","source14,source1","","Eligibility differs depending on intervention track: recent immigrants and refugees with low English language skills, limited education/work experience in the US (RE); individuals with low-to-intermediate English language skills, unemployed, hold work authorization, working lower-skilled/part-time jobs (EFA); intermediate English participants who have documented work history in US, but lack language/vocational skills needed to obtain desired position (OST); individuals qualified financial aid with higher level English skills, high school credential, low English, math, science, and computer skills, and meeting entry criteria for program on academic assessment by service provider (BTC).","2,000","","","","","","source14",""
"View","Menstrual health and hygiene Impact Bond - Ethiopia","Contracted","ET","2022","","","","","In Ethiopia, three out of four girls will never have heard about their period before being confronted with it. The project seeks to raise awareness in the political sphere, civil society and the population about menstrual health and hygiene and, more broadly, about the situation of women.","On the ground, the service providers will ensure that good practices are promoted to a wide audience. The providers will offer reusable sanitary napkins. In the schools, they will make sure that the sanitary infrastructures are adapted to the needs of young girls. Also, awareness campaigns will be carried out in universities, schools, clinics, factories in the city's industrial park as well as in the most vulnerable communities on its outskirts.","Health","3","5","","","source1","","","","","","","","","",""
"View","Mental Health & Employment Partnership Tower Hamlets","Implementation","GB","2016-02","GBP","400,000","514815.9644","","","The intervention will support people with severe and enduring mental illness to get into work. Beneficiaries will take part in the programme voluntarily and move towards employment through a recognized approach called Individual Placement and Support, and payments as they take up placements.","Employment and training","","","","","source1","","People with long-term mental illness.","2,800","Individual","","","","","source1",""
"View","Mental Health and Employment Partnership (MHEP) Haringey","Complete","GB","2015-03","","","","","This funding has been offered for a three-year social impact bond to support people with severe and enduring mental illness to get into work in Haringey.","Individual Placement and Support (IPS) is designed to address the employment support needs of secondary health service users with severe mental health conditions. The IPS service delivery model is based on having an employment advisor embedded in local mental health professional teams and working in a holistic manner with the therapeutic workers. The IPS employment advisor offers a personalised employment support service to the patient based upon their wishes and needs. Support is provided to employer and employee even after a placement has been made, including necessary adaptations.","Employment and training","","","","","source2,source16","","Adults registered with a GP in the commissioning area who have or are recovering from a mental health condition and are looking to enter employment.","","","","","","","source9",""
"View","Mental Health and Employment Partnership (MHEP) North London - Barnet","Complete","GB","2017-04","","","","","","Individual Placement and Support (IPS) services to assist adults with severe and enduring mental health illness gain and retain employment, in Barnet.","Employment and training","","","","","source1","","Adults with severe and enduring mental illness.","","Individual","","","","","source1",""
"View","Mental Health and Employment Partnership (MHEP) North London - Camden","Complete","GB","2017-07","","","","","","This social impact bond will support the delivery of Individual Placement Support services to assist adults with severe and enduring mental health illness gain and retain employment, in Camden.","Employment and training","","","","","source1","","Adults with severe and enduring mental health illness.","","Individual","","","","","source1",""
"View","Mental Health and Employment Partnership (MHEP) North London - Enfield","Complete","GB","2017-07","","","","","","Individual Placement and Support (IPS) services to assist adults with severe and enduring mental health illness gain and retain employment, in Enfield.","Employment and training","","","","","source1","","Adults with severe and enduring mental illness","","Individual","","","","","source1",""
"View","Mental Health and Employment Partnership (MHEP) Staffordshire","Complete","GB","2016-02","","","","","This funding has been offered for a three-year social impact bond to support people with severe and enduring mental illness to get into work in Staffordshire.","Individual Placement and Support (IPS) is designed to address the employment support needs of secondary health service users with severe mental health conditions. The IPS service delivery model is based on having an employment advisor embedded in local mental health professional teams and working in a holistic manner with the therapeutic workers. The IPS employment advisor offers a personalised employment support service to the patient based upon their wishes and needs. Support is provided to employer and employee even after a placement has been made, including necessary adaptations.","Employment and training","","","","","source2,source16","","Adults registered with a GP in the commissioning area who have or are recovering from a mental health condition and are looking to enter employment.","","","","","","","source9",""
"View","Mental Health and Employment Partnership (MHEP) Tower Hamlets","Complete","GB","2016-02","","","","","This funding has been offered for a three-year social impact bond to support people with severe and enduring mental illness to get into work in the London Borough of Tower Hamlets.","Individual Placement and Support (IPS) is designed to address the employment support needs of secondary health service users with severe mental health conditions. The IPS service delivery model is based on having an employment advisor embedded in local mental health professional teams and working in a holistic manner with the therapeutic workers. The IPS employment advisor offers a personalised employment support service to the patient based upon their wishes and needs. Support is provided to employer and employee even after a placement has been made, including necessary adaptations.","Employment and training","","","","","source2,source16","","Adults registered with a GP in the commissioning area who have or are recovering from a mental health condition and are looking to enter employment.","","","","","","","source9",""
"View","Mental Health and Employment Social Impact Bond (Haringey & Barnet)","Implementation","GB","2019-08","GBP","227,000","289704.2985","","Employment, mental health","Individual Placement Support employment services. A tailored, client-centred employment intervention for people with chronic health conditions. It involves the integration of vocational advisers within health teams to optimise return-to-work.","Employment and training","","","","","source1","","Individuals with enduring and severe mental health issues","985","Individual","","","","","source1",""
"View","MHEP Enfield","Implementation","GB","2020-03","GBP","126,000","156328","","","Individual Placement Support aimed at getting people with mental health issues back or into competitively paid employment","Employment and training","","","","","source1","","People with enduring and severe mental health issues","674","Individual","","","","","source1",""
"View","MHEP Shropshire","Implementation","GB","2020-03","GBP","204,000","253103.31","","","Individual Placement Support aimed at getting people with mental health issues back or into competitively paid employment","Employment and training","","","","","source1","","People with enduring and severe mental health issues","582","Individual","","","","","source1",""
"View","MHEP Tower Hamlets Learning Disabilities","Implementation","GB","2020-03","GBP","328,000","406950.415","","","Delivering services using Individual Placement and Support principles to clients with learning disabilities in Tower Hamlets.","Employment and training","","","","","source1","","People with learning disabilities","411","Individual","","","","","source1",""
"View","MHEP Tower Hamlets Mental Health","Implementation","GB","2020-05","GBP","300,000","372210.75","","","Individual Placement Support aimed at getting people with mental health issues back or into competitively paid employment","Employment and training","","","","","source1","","People with enduring and severe mental health issues","3,644","Individual","","","","","source1",""
"View","Mine Fields to Rice Fields DIB","Implementation","KH","2023-03","USD","410,000","410000","","Hidden landmines and other explosive remnants of war","The Mine Fields to Rice Fields DIB – the first Impact Bond in mine action – provides integrated support for landmine clearance and agricultural development in Cambodia. First, it aims to clear approx. 3.8 million sqm of land in Preah Vihear, one of the most mine-affected provinces in Cambodia, to increase safety and freedom of movement for local communities and allow farmers to make more productive use of their land. After clearance, approx. 80 farmers with land in mine-affected areas will be supported to grow organic rice through inputs, training and marketing support. The aim is to increase their net income by 20-35% over two years, thereby reducing levels of household poverty. The DIB is a two-year pilot that aims to trial the effectiveness of an Impact Bond model to better integrate two distinct activities (e.g., mine action and agricultural development support) and understand whether this model could be scaled and replicated, both in Cambodia and to other mine-affected countries.","Agriculture and environment","","","","","source1,source2","","Small-holder rice farmers with land in mine-affected areas","","","","","","","source1,source2",""
"View","Ministry of Justice - Japan SIB Pilot","Implementation","JP","2021-08","","","","","Obstacles to juvenile delinquents' access to higher education, leading to reoffending in some instances.","Tailored support plan and in-person and online lessons to develop academic skills and study habits.","Criminal justice","","","","","source1","","Juvenile training school parolees wishing to pursue further education","80","Individual","","","","","source1",""
"View","Mother Teresa Middle School","Implementation","CA","","CAD","1,000,000","754366.7479","","","The intervention supports young people who are at high risk of poor academic achievement to engage in education and remain in school. It focuses particularly on students from indigenous communities, who historically have had lower graduation rates than non-indigenous students.","Education","","","","","source10,source1","","Grade 6 to 8 students whose probability of success has been compromised by social and economic factors - a large proportion of these are First Nations or Metis.","88","","","","","","source6",""
"View","Multi-Systemic Therapy Colorado","Implementation","US","2018-12","USD","1,273,719","1273719","","","The intervention is based on Multi-Systemic Therapy (MST), an intensive family- and community-based intervention for at-risk youth to reduce criminal justice involvement.","Child and family welfare","","","","","source3,source1","","Colorado youth between the ages of 12 and 17 residing in underserved regions selected by the Lead Provider and the State in accordance with the 2018 OSPB MST Request for Information (“RFI”) in accordance with the youth inclusion and exclusion criteria articulated in the Evaluation Plan.","616","","","","","","source11",""
"View","Municipality of Haarlem SIB","Implementation","NL","","EUR","221,000","246958.82980147","","","The Haarlem Municipality will supply candidates who are suitable to work at MEO. The company trains the new employees in its own workplace, bearing in mind that the candidates can later move on to paid work at other organizations.","Employment and training","","","","","source1,source2","","","24","Individual","","","","","source1",""
"View","New Horizons (Career Connect)","Complete","GB","","GBP","1,500,000","2369492.354","","","The IF pilot projects aim to prevent young people from becoming NEET, or support those already NEET to re-engage with education, training and employment. Interventions display a wide diversity in terms of participant age range, in and out of school provision and the balance between one to one and group work. Some programmes are built around participation on a structured programme or course. Despite these differences, there are also commonalities between projects including: time spent on initial marketing, recruitment and engagement; an intense initial process of working with each participant to achieve a positive shift in ‘mind-set’; a more extended period of personal and skills development and the encouragement of mental resilience in dealing with challenges and difficulties faced; and an ongoing process of goal setting and progression facilitation. The intervention was delivered through a range of Resilience Coaching Programmes, which includes the use of an online ‘Mental Toughness’ diagnostic tool. Once assessed, the young people received one-on-one resilience coaching focusing on the particular challenges faced by each young person (as identified through the Mental Toughness assessment).","Employment and training","","","","","source8,source2","","Eligible ‘not in education, employment or training’ (NEET) clients from Connexions Customer Information Service (CCIS) database (14 - 24 years of age). Young people with learning difficulties, care leavers, young offenders.","","","","4,222","Individual","","source2",""
"View","New South Wales Newpin Social Benefit Bond","Complete","AU","","AUD","7,000,000","6757780.231","","","Newpin is a therapeutic, centre-based program that supports and empowers families to break the cycle of child abuse and neglect by providing safe, nurturing environments for their children. Newpin was developed in response to the needs of new mothers experiencing issues such as isolation, mental illness, family violence, social disadvantage, drug and alcohol misuse, low self-esteem and for those who were at risk of physically or emotionally harming their children. The Newpin model includes parenting modules, therapeutic group meetings, child development activities, and a supportive environment. The service delivery process includes the child being restored to the family and removed from out-of-home care when risk of harm to the child is reduced. Many families generally stay on the Newpin program for a period of six months after the restoration of a child to ensure the parents are supported during the transition and to maximise sustained restoration outcomes.","Child and family welfare","","","","","source11,source3","","Families with children aged less than five years who are either in statutory out-of-home care or are at risk of harm. The Newpin program works with three broad family cohorts:  ● Cohort 1: the first cohort comprises families that have at least one child aged less than five years who has been in out-of-home care for at least three months. (c. 50% of cases) ● Cohort 2: the second cohort comprises families that have at least one child aged less than five years that has been assessed as being at risk of serious harm. These children will either be the subject of a Supervision Order or a safety and risk assessment by FACS. (c. 25% of cases) ● Cohort 3: the balance of Newpin places are allocated to families with children under five years who do not meet the definitions above but have been identified as needing support to prevent deterioration in the family environment. These families are referred to as “Cohort 3”.","","","","700","Other","Families","source12",""
"View","New York State Increasing Employment and Improving Public Safety","Implementation","US","2013-10","USD","13,500,000","13500000","","","The project will expand a comprehensive, evidence-based employment intervention for 2,000 formerly incarcerated individuals in New York City (“NYC”) and Rochester with the goals of increasing employment, reducing re-incarceration, and thus improving public safety. The intervention is composed of a set of evidence-based, comprehensive core services, including intensive life skills training for five days, immediate placement into a part-time subsidized subsidized transitional job (generally, 9 weeks of work over a period of 4 months), job placement into an unsubsidized job as participants are assessed to be job-ready; and job retention support for one year. The intervention is predicated on the belief that in order to succeed in life after prison, ex-offenders need to become attached to their communities and the job market as soon as possible after release.","Criminal justice","","","","","source12,source1","","Recently-released individuals under community supervision in NYC and Rochester who are at high-risk of returning to prison.","2,000","","","","","","source1",""
"View","Newpin Queensland Social Benefit Bond","Complete","AU","2017-03","AUD","6,000,000","4598553.638","","","The Newpin (New Parent Infant Network)  SBB has a focus on reunifying Aboriginal and Torres Islander children in the child protection system safely with their families. The Newpin Program works intensively to safely return children in out-of-home care to their families. It supports both parents and children in a collaborative person-centred and respectful way through a combination of formal and informal groups. The therapeutic program is centre-based and families will attend the program for a minimum of two days per week for up to eighteen months, as part of working towards family reunification.","Child and family welfare","","","","","source5,source11","","To be eligible for referral to the Newpin Program, a family must have at least one child: ● who is aged less than five and a half; and ● who is in, has been referred or will be referred to OOHC for at least three months; and ● for whom reunification is considered by the State to be a suitable goal. In addition, the parent has to live within a centre catchment, be female, and be regarded as the target for possible reunification.","","","","","","","source12",""
"View","Newpin SA Social Impact Bond","Implementation","AU","2020-12","USD","6,500,000","6500000","","There are currently over 4,000 children in South Australia living away from their parents in out-of-home care, highlighting a strong need for investment in reunification services.","The Newpin Program is an 18-month centre-based program that has been designed to strengthen family engagement and has an established track record in ensuring that more children are able to live safely with their parents.","Child and family welfare","","","","","","","Vulnerable children and families in South Australia. Families will have at least one child who is below school age and in out-of-home care.","224","Other","families","","","","","224 families, including ~314 children"
"View","Norfolk Carers Partnership","Implementation","GB","2020-04","GBP","","","","","Norfolk Carers Partnership supports adult unpaid carers to improve their wellbeing and enable them to sustain their caring role.","Child and family welfare","","","","","source1","","","7,285","Individual","","","","","source1",""
"View","Norrköping SIB","Implementation","SE","2016-07","Swedish","10,000,000","1167952.55","","","The intervention seeks to reduce the risk of replacement of children and young people previously placed in state care. It includes: individually adapted school support for each participant and tutoring. It will be carried out by a team specifically recruited for the intervention and an educational support expert.","Education","","","","","source2,source3","","To be eligible, the participant must be a child or young person that has been previously located at Home for Care and Housing (HVB) or at residential care homes offered by the Swedish National Board of Institutional Care (SiS).","","","","","","","source3",""
"View","North West London End of Life Care Integrator","Implementation","GB","2018-01","GBP","1,400,000","1867833.34","","","This project aims to provide high quality care for over 3700 people across 100 care homes in North West London. A 24 hour telemedicine service will provide support for care home residents and clinical assessments will be made in the homes; the service includes rapid access to nurses who are able to visit patients in their homes and support them in crisis situations. This should reduce A&E attendances and hospital admissions, while providing treatment in a familiar setting.","Health","","","","","source3,source1","","Care home residents in North West London aged 18 or older who are at the end of life.","3,700","Individual","","","","","source3",""
"View","Nottingham Futures","Complete","GB","","GBP","1,700,000","2685424.668","","","The IF pilot projects aim to prevent young people from becoming NEET, or support those already NEET to re-engage with education, training and employment. Interventions display a wide diversity in terms of participant age range, in and out of school provision and the balance between one to one and group work. Some programmes are built around participation on a structured programme or course. Despite these differences, there are also commonalities between projects including: time spent on initial marketing, recruitment and engagement; an intense initial process of working with each participant to achieve a positive shift in ‘mind-set’; a more extended period of personal and skills development and the encouragement of mental resilience in dealing with challenges and difficulties faced; and an ongoing process of goal setting and progression facilitation. Advice, coaching and signposting to specialist services and to an apprenticeships agency. Links to employment and training partnerships.Provision on Nottinghamshire Futures premises, with home and community outreach.","Employment and training","","","","","source6,source2","","The most-at-risk young people among those initially ‘not known’ on CCIS database with a focus on the six most deprived wards in the city (14 - 24 years of age)","","","","4,000","","","source2",""
"View","NYC Adolescent Behavioral Learning Experience (i.e. ABLE) Project for Incarcerated Youth","Complete","US","","USD","7,200,000","7200000","","","The ABLE program aims to break the cycle of re-incarceration for adolescents in jail using Moral Reconation Therapy (i.e. MRT), an evidence-based intervention that focuses on improving decision-making. MRT is a form of cognitive behavioral therapy in which participants progress through a series of steps with the help of a trained facilitator, graduating from one stage to the next by delivering testimonies or presentations about themselves. The goal of the intervention is to decrease the participant's likelihood of future criminal behavior and reincarceration.","Criminal justice","","","","","source15,source2","","Youth between ages of 16 and 18 attending school while being detained at Rikers Island jail.","","","","1,255","Individual","","source16",""
"View","Oklahoma Intensive Safety Services","Implementation","US","","USD","142,000","142000","","","The intervention is based on the Intensive Safety Services (ISS) program that is designed to keep children safe in the home while their parents complete services instead of the children expeirencing foster care. The program provides intensive home-based services from Master's-level therapists to address parent needs that led to the abuse and/or neglect of their children. These services include direct counseling and therapy services, such as assessment and diagnosis, treatment planning, and crisis intervention.","Child and family welfare","","","","","source1","","Children aged 0 - 12 identified to be at high imminent risk of removal from the home.","140","","","","","","source1",""
"View","Oklahoma Women in Recovery","Implementation","US","","USD","9,000,000","9000000","","","The intervention is an intensive outpatient alternative to incarceration for eligible women facing long-term prison sentences for nonviolent,  primarily drug-related offenses. The intervention equips women with the skills they need to become productive members of society. The program works closely with the criminal justice system and multiple community partners.","Criminal justice","","","","","source9,source1","","Participants must be women with felony charges issued in Tulsa County. They must also be 18 years old or older with substance use disorders, prison-bound, and ineligible for other Tulsa County diversion programs.","625","","","","","","source11",""
"View","On TRACC Social Impact Investment - New South Wales","Complete","AU","2016-07","","","","","","The On TRACC (Transition Reintegration and Community Connection) program aims to support parolees to reintegrate successfully into the community and reduce re-offending. The intensive support program aims to provide individualised support to parolees, particularly in the first 16 weeks of parole. It works to support parolees to successfully reintegrate into the community following their release from prison. The program will complement and build on existing support services for parolees provided by Corrective Services NSW.","Criminal justice","","","","","source7,source1","","Up to 3,900 adult parolees with a medium to high risk of reoffending, released to supervision in selected Sydney metropolitan areas.","","","","3,900","Individual","","source7",""
"View","Online healthcare consulting service for pregnant and postpartum women","Implementation","JP","2020-04","","","","","Maternal healthcare","The service provides online healthcare consultations with doctors (obstetrics, gynaecology and paediatrics) from pregnancy to four months postpartum.","Health","","","","","source1","","Women who get the Maternal and Child Health Handbook at the Kohoku Ward Office and agree to participate in the project.","700","Individual","","","","","source1",""
"View","Opening Doors","Complete","GB","2020-01","GBP","470,000","599828.2832","","Homelessness","This proposal aims to reduce the numbers of single adults and childless couples at risk of homelessness living in temporary accommodation (TA), through delivery of individual support plans that will address an individual’s barriers to sustained housing","Homelessness","","","","","source1","","Single adults and childless couples at risk of homelessness living in temporary accommodation (TA)","194","Individual","","31","Individual","","source1","The project withdrew from the Life Cahnces Fund programme in June 2021."
"View","Outreach support project for socially reclusive young people to help them take the next step towards employment","Complete","JP","2018-11","","","","","Socially isolated young people with no employment","","Employment and training","","","","","source1,source2","","30 socially isolated young people who are unable to use employment support system due to various reasons including social withdrawal (hikikomori)","45","Individual","","","","","","Targeted users: Phase1: 35, Phase2: 45"
"View","ParentChild+","Implementation","GB","2019-04","GBP","100,000","127623.039","","Education, school readiness","Narrow the gap in school readiness between vulnerable children and their better off peers through a Parent Child Home Programme.","Education","","","","","source1","","Families with a child aged 2-3 in Kensington & Chelsea and Westminster who do not meet age related goals on speech and language, and social-personal skills assessed by the Ages and Stages Questionnaire during the national 2-year old checks.","198","Individual","","","","","source1",""
"View","PERSPEKTIVE: ARBEIT - Ökonomisches und soziales empowerment von gewaltbetroffenen Frauen  (Perspective: Work - Economic and social empowerment for women affected by violence)","Complete","AT","","EUR","804,688","892452.72799172","","","During the counseling and placement process, the appropriate type of support is determined on an individual basis by working closely with existing services and programs offered by the Austrian Public Employment Service (Arbeitmarktservice – AMS) and women’s organisations. The participating women are given a safe environment and receive intensive councelling to identify and reduce their barriers to employment. After being successfully placed in employment, the women receive follow-up support.","Employment and training","","","","","source7,source4","","Women affected by violence in the state of Upper Austria who have been in contact with a women’s shelter or a Center for Protection Against Violence (Gewaltschutzzentrum) in Upper Austria within the last 24 months, are legal residents of Austria, are of working age, and have valid work permits, do not earn a living wage, or are at risk of losing their jobs due to their stay in a women's shelter or their affection by violence.","75","Individual","","75","Individual","","source5,source11",""
"View","Plymouth Refugee Opportunities","Implementation","GB","2022-01","GBP","","","","Refugee Integration in the UK","This initiative aims to increase the self-sufficiency and integration of newly granted refugees, helping them to move into work, learn English, access housing and build links in their local communities. It will encourage new partnerships and evaluate activities to better understand what works for refugees.","Employment and training","","","","","source1","","The project is working with those who have been granted refugee status or humanitarian protection since 24 February 2020 and are economically active (actively seeking work or ready to take active steps towards securing work).","","Individual","","","","","source1",""
"View","Positive Families Partnership","Complete","GB","2017-06","GBP","4,500,000","6003750.015","","","The intervention carries out two therapeutic services: multisystemic therapy (MST) and functional family therapy (FFT). Both therapies involve working closely with families, coaching them to deal with difficult behavior. In MST, each therapist has a caseload of four families who they'll see at least three times a week, a 24-hour support line is also available for parents. FFT is usually delivered by qualified family therapists and is used when the need for intervention is less urgent. Both aim to help parents cope more effectively on their own. Often the goals are simple, such as making sure children come home at a reasonable time or improve school attendance. Parents are encouraged to spend positive time with their children, taking them to the cinema or for walks in the park.","Child and family welfare","","","","","source5,source1","","Young people aged 10 - 17 involved in serious antisocial behavior and/or substance misuse, who have been identified as being at risk of going into care.","350","Individual","","","","","source1",""
"View","Positive Health / Rendiz","Implementation","NL","2018","EUR","450,000","531170.018","","","With intensive guidance, coaching and attention, participants are guided step by step to regular work. The participant works at one of the Rendiz locations. The guidance of these participants is also supported by the principles of positive health and an analysis is made of all factors in the life of the participant that have an impact on returning to work.","Employment and training","","","","","source3,source1","","Participants are long term unemployed reffered by the municipality of Venlo.","50","","","","","","source3",""
"View","Preventing Type 2 Diabetes","Implementation","IL","2016-03","Israeli new shekels","19,400,000","5051337.91","","","The intervention program is centered on personalized lifestyle modifications. The program will work with three separate cohorts of pre-diabetics at high risk of contracting the disease. Over the course of two years, participants will be motivated to improve their lifestyle, receiving guidance in nutrition and exercise, constant mentorship and oversight from a case manager. After patients complete two years of activities, their blood measurements will be tracked for a further three years, and the impact of the program will be assessed.","Health","","","","","source1","","People at-risk of developing Type 2 diabetes.","","","","","","","source1",""
"View","Prevention of Late-Stage Complications from Type-2 Diabetes - Denmark","Implementation","DK","2021-11","DKK","13,300,000","2018209.4081942","","Late complications from diabetes are expensive for society and reduce the quality of life for the citizen. Structural barriers make it difficult for the municipality to deliver the efforts that the citizen needs.","The intervention is targeting vulnerable citizens with type 2 diabetes throughout Aarhus Municipality, who need help to prevent late-stage complications as a result of their diabetes. The intervention is split into four phases of three months' duration, which provide the citizens with knowledge, skills and relationships that support them in achieving a better quality of life.  To ensure that the citizens maintain the new, healthier habits, there is a follow-up period of two years. The intervention includes both individual and group-based interventions and includes, for example, individual conversations, training, cooking, mentoring, other activities and family-oriented activities.","Health","3","","","","source1,source2","","Vulnerable citizens with type 2 diabetes","450","Individual","","","","","source1,source2",""
"View","Prevista","Complete","GB","","","","","","","The IF pilot projects aim to prevent young people from becoming NEET, or support those already NEET to re-engage with education, training and employment. Interventions display a wide diversity in terms of participant age range, in and out of school provision and the balance between one to one and group work. Some programmes are built around participation on a structured programme or course. Despite these differences, there are also commonalities between projects including: time spent on initial marketing, recruitment and engagement; an intense initial process of working with each participant to achieve a positive shift in ‘mind-set’; a more extended period of personal and skills development and the encouragement of mental resilience in dealing with challenges and difficulties faced; and an ongoing process of goal setting and progression facilitation. Stabilisation and prevention programmes, workshops on gang activity and knife crime, social skills programmes, prison reality workshops and further education and work integration programmes","Employment and training","","","","","source7,source2","","Young people (14-15 year olds) with offending histories, substance misusers and/or involved in gang activity","","","","600","","","source2",""
"View","Prevista","Complete","GB","","","","","","","As part of the Youth Engagement Fund, the SIB aimed to help disadvantaged young people aged 14 to 17 to participate and succeed in education or training. It hoped to improve their employability, reduce their long term dependency on benefits, and reduce their likelihood of offending. Prevista’s Youth Engagement Fund (YEF) Project operated in 10 London boroughs, helping young people to improve their attitude, skills and behaviour and preparing them for progression into work or onto further skills development and education. As a managing agent, Prevista led a supply chain of innovative grassroots delivery partners enabling them to refer young people to providers who are most suited to meet their needs. Activities included a range of tailored in and out of school activities supported through a personal career coach, including volunteering, skills and enrichment activities, group work, employment integration activities, youth applied positive psychology and work with the young person’s family.","Employment and training","","","","","source7,source1","","Young people aged 14 to 17 in London, 70% of whom will be gang members, ex-offenders/at risk of offending, in care/care leavers, and those with high levels of school absence","","","","","","","source1",""
"View","Programa Integrado de Promocao da Literacia (Integrated Literacy Programme)","Complete","PT","2018-09","EUR","270,400","319174.1619","","School failure","Literacy and reading promotion for families with pre-school and primary school children.","Education","","","","","source1","","Children","","","","444","Individual","","",""
